,reward,steps,found
562,190686.6268880492,12,True
563,191440.48394003557,10,True
564,189573.60853690037,14,True
565,190168.83774403992,13,True
566,191080.6473959757,11,True
567,190749.4657172348,12,True
568,191755.57508260343,10,True
569,185876.08056541628,17,True
570,188548.7002243249,15,True
571,191934.0,9,True
572,184377.65717551604,18,True
573,189962.01398402685,13,True
574,-199865.6454689728,21,False
575,191755.57508260343,10,True
576,-222008.04602945628,83,False
577,192287.15346305448,9,True
578,165356.56077498553,32,True
579,186860.39855234712,16,True
580,190557.9632890037,12,True
581,184082.66127205745,18,True
582,152121.42014693565,41,True
583,189377.72585054173,14,True
584,190555.83329138305,12,True
585,191723.6186674692,10,True
586,189590.79301947056,13,True
587,191078.4955519317,11,True
588,171642.30035185724,27,True
589,159169.71283803025,36,True
590,190518.68401326984,12,True
591,-213775.1255701813,59,False
592,191153.86502167265,11,True
593,139418.9644080124,50,True
594,189489.54911367863,14,True
595,189114.51024562487,14,True
596,185584.6199314029,17,True
597,-204576.7093281846,32,False
598,191541.48394003557,10,True
599,175890.9385045232,24,True
600,190951.2807484375,12,True
601,191217.9598805521,11,True
602,191755.57508260343,10,True
603,175876.37905774338,24,True
604,189086.7324389375,15,True
605,191753.18265404008,10,True
606,179763.13560599164,21,True
607,192249.09114256792,9,True
608,191163.58951450925,11,True
609,190580.13335242812,12,True
610,190467.4813710936,13,True
611,181013.8145195779,20,True
612,191056.95009524637,11,True
613,182782.63201919387,19,True
614,187087.2330354801,16,True
615,189674.3959221847,14,True
616,191797.1086030566,10,True
617,191659.5377963633,10,True
618,191063.68765311743,11,True
619,191798.83604153,10,True
620,189305.4468807197,14,True
621,-201187.95247080704,24,False
622,189985.7049044408,13,True
623,191090.2229243237,11,True
624,181992.0706383969,20,True
625,190484.78059521288,12,True
626,190631.9129908469,12,True
627,182206.4290448496,20,True
628,-201817.8707086844,24,False
629,190528.66994419653,13,True
630,143460.19985992296,47,True
631,187551.1667548487,15,True
632,183270.8824072112,19,True
633,190422.38025590268,12,True
634,191544.95514000213,10,True
635,191544.95514000213,10,True
636,191786.31010852064,10,True
637,-10828.270501735737,14,True
638,192035.0,9,True
639,191060.0622895855,11,True
640,191043.74518987592,11,True
641,160516.22698646234,35,True
642,189841.5042458882,14,True
643,175717.7902381027,24,True
644,187081.7282580613,16,True
645,180801.7830269677,20,True
646,191024.9356540253,11,True
647,190635.7523518092,12,True
648,191413.91471532063,10,True
649,187115.94351645344,16,True
650,191427.3925261759,10,True
651,184886.7324389375,18,True
652,192035.0,9,True
653,190521.80872880787,12,True
654,191420.50786310315,11,True
655,165979.6071632876,31,True
656,187514.16523572168,15,True
657,180685.4232460934,20,True
658,-199970.0,8,False
659,191229.41895715595,11,True
660,190607.53715598772,12,True
661,-204335.16411192747,36,False
662,190824.77961469188,12,True
663,155410.3319542347,39,True
664,190843.4529922654,11,True
665,188009.57562692705,15,True
666,191959.65961428272,10,True
667,130919.79295775088,57,True
668,190690.70949416223,12,True
669,191374.12495636076,10,True
670,188199.6463704355,15,True
671,173947.08737916758,25,True
672,190531.6076736199,12,True
673,192035.0,9,True
674,177391.1692687688,23,True
675,188406.03403783205,15,True
676,158974.79218512995,36,True
677,190722.620263664,12,True
678,190212.3577725372,13,True
679,191143.5650035649,11,True
680,189378.75772135597,14,True
681,188038.3001188253,15,True
682,190505.39182668872,12,True
683,184980.42524550107,18,True
684,181235.2484754836,19,True
685,192501.2446056224,9,True
686,189171.19032389528,14,True
687,189562.0944730492,14,True
688,191258.53708424023,11,True
689,157242.5344303158,37,True
690,190725.8267496863,11,True
691,188691.65424863537,15,True
692,182958.5393830164,19,True
693,190950.59934725068,12,True
694,185807.7899622046,16,True
695,188483.98760671823,15,True
696,191584.7448989621,10,True
697,191755.57508260343,10,True
698,188915.9022552961,15,True
699,153450.52124680713,40,True
700,190536.1285675922,12,True
701,168737.47864696762,29,True
702,191544.95514000213,10,True
703,187379.441490059,16,True
704,190436.62940341007,12,True
705,190613.49828595648,12,True
706,190173.1675802053,13,True
707,189485.0255298668,14,True
708,191187.20983794157,11,True
709,191541.48394003557,10,True
710,190898.52152980544,12,True
711,190709.63680461465,12,True
712,188431.782513664,15,True
713,187975.22807063523,15,True
714,191381.21217217972,11,True
715,190491.5734613062,12,True
716,185989.21498394947,17,True
717,192253.4362718757,9,True
718,191016.1640371414,11,True
719,190098.04522275945,13,True
720,189589.05339981316,14,True
721,186562.45659351448,16,True
722,191554.9617508908,10,True
723,185947.0860554552,17,True
